Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;72220900;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ;imago/adult; ;friflygande;;; ;Sillvik, Hisingen;Naturreservatet;1258170;6408448;250;0;Västra Götaland;Göteborg;Bohuslän;Torslanda;;2018-07-10;;2018-07-10;
;94692501;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2; ;imago/adult; ;friflygande;;; ;;Grimås;1270971;6419522;300;0;Västra Götaland;Göteborg;Bohuslän;Rödbo;;2021-07-05;;2021-07-05;
;16072611;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;observerad;;Sörmarken, motionsspåret;1332610;6402820;75;0;Västra Götaland;Borås;Västergötland;Borås;;2014-07-06;12:30;2014-07-06;12:35
;78971089;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;;;N 820;1304983;6347744;25;0;Halland;Varberg;Halland;Nösslinge;;2019-07-18;12:35;2019-07-18;12:35
;78971181;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;;;N 820;1304690;6348058;25;0;Halland;Varberg;Halland;Nösslinge;;2019-07-18;12:35;2019-07-18;12:35
;71910468;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;observerad;Käglinge rekreationsområde;Käglinge rekreationsområde;1327157;6159432;100;0;Skåne;Malmö;Skåne;Glostorp;;2018-06-17;14:30;2018-06-17;14:30
;72295204;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;hane;friflygande;;;observerad;Sladöarkipelagen;Sladö vid bron till Hasselö;1557087;6410638;50;0;Kalmar;Västervik;Småland;Loftahammar;;2018-07-15;;2018-07-15;
;72339525;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;hona;friflygande;;;observerad;Lövsjö, Förlanda;Litserhult SSV om;1296404;6368976;100;0;Halland;Kungsbacka;Halland;Förlanda;;2018-07-19;;2018-07-19;
;94883894;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;;Tallebo;1551280;6397730;50;0;Kalmar;Västervik;Småland;Västrum;;2021-07-15;;2021-07-15;
;94854710;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;Trummen;Barnsjön;1442147;6303224;100;0;Kronoberg;Växjö;Småland;Växjö;;2021-07-13;;2021-07-13;
;94839753;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;Unnered, Tuve;unneredsdammen;1267818;6410407;50;0;Västra Götaland;Göteborg;Västergötland;Tuve;;2021-07-12;;2021-07-12;
;94772215;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;Huke, Tuve;hukevägen;1268481;6411119;100;0;Västra Götaland;Göteborg;Västergötland;Tuve;;2021-07-09;;2021-07-09;
;110364536;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;Unnered, Tuve;unneredsdammen;1267818;6410407;50;0;Västra Götaland;Göteborg;Västergötland;Tuve;;2023-06-26;;2023-06-26;
;16173846;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;vilande;;; ;;Vägen Kålgårdsviken-Lögarebergen;1549672;6405101;25;0;Kalmar;Västervik;Småland;Lofta;;2014-07-16;10:00;2014-07-16;10:00
;16465824;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;observerad;;Ulricehamn stadsparken;1357600;6409170;50;0;Västra Götaland;Ulricehamn;Västergötland;Ulricehamn;;2014-08-08;18:00;2014-08-08;18:15
;71900581;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.; ; ; ;;; ;;Underfångsvägen 16;1439230;6303620;50;0;Kronoberg;Växjö;Småland;Växjö;;2018-06-16;;2018-06-16;
;15557813;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;;;friflygande;;;observerad;;Hjässan;1432150;6465380;100;0;Östergötland;Ödeshög;Östergötland;Västra Tollstad;;2013-07-24;;2013-07-24;
;102114682;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2;; ; ; ;;;;;Skandiaåsen, Gävle;1582617;6718748;25;0;Gävleborg;Gävle;Gästrikland;Gävle;;2022-07-07;17:56;2022-07-07;17:56
;102120070;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;;Fjärilsvägen, nära bommen;1581300;6723856;100;0;Gävleborg;Gävle;Gästrikland;Gävle;;2022-07-07;;2022-07-07;
;102120096;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;;Fjärilsvägen;1581719;6723507;200;0;Gävleborg;Gävle;Gästrikland;Gävle;;2022-07-07;;2022-07-07;
;102120119;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;;KUBBOBÄCKEN VID BJÖRKMYR;1583250;6721750;100;0;Gävleborg;Gävle;Gästrikland;Gävle;;2022-07-07;;2022-07-07;
;102120145;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2; ; ; ; ;;; ;;söder om Skandiaåsen;1582680;6718504;200;0;Gävleborg;Gävle;Gästrikland;Gävle;;2022-07-07;;2022-07-07;
;102120208;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2; ; ; ; ;;; ;;Öster om Gillermuren;1582120;6718144;200;0;Gävleborg;Gävle;Gästrikland;Gävle;;2022-07-07;;2022-07-07;
;94964193;41578;Godkänd. Foto (eller ljud) granskat av validerare;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.; ; ; ;;; ;;Fjärilsvägen;1581851;6723199;200;0;Gävleborg;Gävle;Gästrikland;Gävle;;2021-07-18;;2021-07-18;
;102190108;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);noterad;; ; ; ;;;;;Hyttön, Gävle;1582114;6709328;25;0;Gävleborg;Gävle;Gästrikland;Hedesunda;;2022-07-11;11:27;2022-07-11;11:27
